Name,X-Coordinate,Y-Coordinate,Z-Coordinate,EnterPipeline,OutPipeline,ConstantEnterFlow,ConstantPressureEnter
N1,-90.3215444,-0.6940249,202.681,NN,t2,0.01,12.306969
N2,-90.3222743,-0.6939567,198.359,t2,t3,,
N3,-90.322284,-0.6936745,198.841,t3,t4,,
N4,-90.3244251,-0.6937913,188.296,t4,t5,,
N5,-90.3258266,-0.6937718,186.816,t5,t6,,
N6,-90.3259142,-0.6944238,184.174,t6,t7,,
N7,-90.3270528,-0.6943655,181.258,t7,t8,,
N8,-90.3273351,-0.6971973,174.973,t8,t9,,
N9,-90.3257779,-0.6973044,177.097,t9,t10,,
N10,-90.3269228,-0.7005936,170.11,t10,t11,,
N11,-90.3257162,-0.7046153,154.113,t11,t12,,
N12,-90.3255979,-0.7087553,144.917,t12,NN,,
